Date,IBM,APPL,TSLA,GOOGL,NVDA,REND IBM,REND APPL,REND TSLA,REND GOOGL,REND NVDA,RF,REND PORT,REND EXCES,NEG REND EX,,,,,,,
03/06/2021,122.106369,121.628738,190.946671,117.378998,169.374329,-0.12%,-1.22%,-5.33%,-0.97%,1.14%,0.03%,-0.94%,-0.97%,-0.97%,0.01%,,,,,,
04/06/2021,123.675156,123.94239,199.683334,119.678497,175.447723,1.28%,1.90%,4.58%,1.96%,3.59%,0.03%,3.84%,3.81%,,,,,,,,
07/06/2021,124.178505,123.952217,201.710007,120.114998,175.854477,0.41%,0.01%,1.01%,0.36%,0.23%,0.03%,0.48%,0.45%,,,,,,,,
08/06/2021,125.05938,124.779236,201.196671,119.921997,174.237564,0.71%,0.67%,-0.25%,-0.16%,-0.92%,0.03%,-0.67%,-0.70%,-0.70%,0.00%,,,,,,
09/06/2021,126.401695,125.163216,199.593338,120.397003,173.291641,1.07%,0.31%,-0.80%,0.40%,-0.54%,0.03%,-0.59%,-0.61%,-0.61%,0.00%,,,,,,
10/06/2021,126.292625,124.158966,203.373337,121.7565,173.958008,-0.09%,-0.80%,1.89%,1.13%,0.38%,0.03%,0.85%,0.82%,,,,,,,,
11/06/2021,126.913422,125.379784,203.296661,121.510002,177.953827,0.49%,0.98%,-0.04%,-0.20%,2.30%,0.03%,1.51%,1.49%,,,,,,,,
14/06/2021,125.864799,128.46138,205.896667,122.445503,179.885559,-0.83%,2.46%,1.28%,0.77%,1.09%,0.03%,1.14%,1.11%,,,,,,,,
15/06/2021,125.302666,127.634361,199.786667,121.419502,177.586929,-0.45%,-0.64%,-2.97%,-0.84%,-1.28%,0.03%,-1.79%,-1.81%,-1.81%,0.03%,,,,,,
16/06/2021,124.019104,128.136475,201.623337,120.772499,177.804062,-1.02%,0.39%,0.92%,-0.53%,0.12%,0.03%,0.36%,0.33%,,,,,,,,
17/06/2021,122.148315,129.751099,205.53334,121.7435,186.259872,-1.51%,1.26%,1.94%,0.80%,4.76%,0.03%,3.74%,3.71%,,,,,,,,
18/06/2021,120.067772,128.441681,207.770004,120.111,186.07518,-1.70%,-1.01%,1.09%,-1.34%,-0.10%,0.03%,0.23%,0.21%,,,,,,,,
21/06/2021,123.029175,130.253235,206.943329,121.8125,183.963715,2.47%,1.41%,-0.40%,1.42%,-1.13%,0.03%,-0.82%,-0.84%,-0.84%,0.01%,,,,,,
22/06/2021,122.785912,131.907227,207.903336,122.330498,188.551025,-0.20%,1.27%,0.46%,0.43%,2.49%,0.03%,1.80%,1.77%,,,,,,,,
23/06/2021,121.317749,131.631577,218.856674,122.126999,190.253143,-1.20%,-0.21%,5.27%,-0.17%,0.90%,0.03%,2.22%,2.20%,,,,,,,,
24/06/2021,122.014076,131.346039,226.606674,122.5,191.73317,0.57%,-0.22%,3.54%,0.31%,0.78%,0.03%,1.62%,1.60%,,,,,,,,
25/06/2021,123.188591,131.05069,223.956665,122.508499,189.991119,0.96%,-0.22%,-1.17%,0.01%,-0.91%,0.03%,-0.96%,-0.98%,-0.98%,0.01%,,,,,,
28/06/2021,121.888245,132.694839,229.573334,122.536003,199.515152,-1.06%,1.25%,2.51%,0.02%,5.01%,0.03%,4.08%,4.06%,,,,,,,,
29/06/2021,122.106369,134.220871,226.919998,122.272499,199.931931,0.18%,1.15%,-1.16%,-0.22%,0.21%,0.03%,-0.21%,-0.24%,-0.24%,0.00%,,,,,,
30/06/2021,122.978851,134.841125,226.566666,122.0895,199.689835,0.71%,0.46%,-0.16%,-0.15%,-0.12%,0.03%,-0.12%,-0.14%,-0.14%,0.00%,,,,,,
01/07/2021,123.188591,135.146332,225.973328,122.444504,201.781326,0.17%,0.23%,-0.26%,0.29%,1.05%,0.03%,0.61%,0.59%,,,,,,,,
02/07/2021,117.467087,137.794739,226.300003,125.2575,204.526703,-4.64%,1.96%,0.14%,2.30%,1.36%,0.03%,0.94%,0.91%,,,,,,,,
06/07/2021,116.426811,139.82283,219.860001,126.190002,206.638168,-0.89%,1.47%,-2.85%,0.74%,1.03%,0.03%,-0.20%,-0.22%,-0.22%,0.00%,,,,,,
07/07/2021,117.299301,142.333389,214.883331,126.473999,203.376129,0.75%,1.80%,-2.26%,0.23%,-1.58%,0.03%,-1.72%,-1.74%,-1.74%,0.03%,,,,,,
08/07/2021,118.071121,141.023972,217.603333,125.043999,198.694,0.66%,-0.92%,1.27%,-1.13%,-2.30%,0.03%,-1.13%,-1.16%,-1.16%,0.01%,,,,,,
09/07/2021,118.725494,142.865067,218.983337,125.518501,200.16655,0.55%,1.31%,0.63%,0.38%,0.74%,0.03%,0.71%,0.68%,,,,,,,,
12/07/2021,118.222115,142.264481,228.566666,126.975502,204.781281,-0.42%,-0.42%,4.38%,1.16%,2.31%,0.03%,2.89%,2.86%,,,,,,,,
13/07/2021,117.685211,143.386826,222.846664,127.341499,202.160675,-0.45%,0.79%,-2.50%,0.29%,-1.28%,0.03%,-1.62%,-1.64%,-1.64%,0.03%,,,,,,
14/07/2021,117.299301,146.842529,217.793335,128.237,198.082535,-0.33%,2.41%,-2.27%,0.70%,-2.02%,0.03%,-2.01%,-2.03%,-2.03%,0.04%,,,,,,
15/07/2021,117.82782,146.182907,216.866669,127.004997,189.344681,0.45%,-0.45%,-0.43%,-0.96%,-4.41%,0.03%,-3.04%,-3.07%,-3.07%,0.09%,,,,,,
16/07/2021,116.527473,144.125244,214.740005,126.970001,181.30571,-1.10%,-1.41%,-0.98%,-0.03%,-4.25%,0.03%,-3.12%,-3.15%,-3.15%,0.10%,,,,,,
19/07/2021,115.70533,140.246201,215.406662,124.578003,187.482819,-0.71%,-2.69%,0.31%,-1.88%,3.41%,0.03%,2.28%,2.26%,,,,,,,,
20/07/2021,117.425125,143.888931,220.166672,126.209503,185.808105,1.49%,2.60%,2.21%,1.31%,-0.89%,0.03%,0.16%,0.13%,,,,,,,,
21/07/2021,118.540916,143.150528,218.429993,127.549004,193.77478,0.95%,-0.51%,-0.79%,1.06%,4.29%,0.03%,2.59%,2.56%,,,,,,,,
22/07/2021,118.045937,144.52887,216.419998,128.421494,195.611679,-0.42%,0.96%,-0.92%,0.68%,0.95%,0.03%,0.35%,0.32%,,,,,,,,
23/07/2021,118.574455,146.261642,214.460007,133.014999,195.252274,0.45%,1.20%,-0.91%,3.58%,-0.18%,0.03%,-0.35%,-0.38%,-0.38%,0.00%,,,,,,
26/07/2021,119.774124,146.684998,219.206665,134.035004,192.616714,1.01%,0.29%,2.21%,0.77%,-1.35%,0.03%,-0.18%,-0.20%,-0.20%,0.00%,,,,,,
27/07/2021,119.757355,144.499344,214.926666,131.899994,191.758148,-0.01%,-1.49%,-1.95%,-1.59%,-0.45%,0.03%,-0.93%,-0.96%,-0.96%,0.01%,,,,,,
28/07/2021,118.935211,142.73703,215.660004,136.093994,194.703171,-0.69%,-1.22%,0.34%,3.18%,1.54%,0.03%,1.13%,1.10%,,,,,,,,
29/07/2021,119.069435,143.386826,225.78334,135.777496,196.290543,0.11%,0.46%,4.69%,-0.23%,0.82%,0.03%,2.01%,1.98%,,,,,,,,
30/07/2021,118.255676,143.603424,229.066666,134.726501,194.663284,-0.68%,0.15%,1.45%,-0.77%,-0.83%,0.03%,-0.10%,-0.13%,-0.13%,0.00%,,,,,,
02/08/2021,118.641579,143.268723,236.556671,134.854507,197.169052,0.33%,-0.23%,3.27%,0.10%,1.29%,0.03%,1.87%,1.84%,,,,,,,,
03/08/2021,120.864731,145.080246,236.580002,135.630005,197.817978,1.87%,1.26%,0.01%,0.58%,0.33%,0.03%,0.26%,0.23%,,,,,,,,
04/08/2021,119.765747,144.676575,236.973328,135.125504,202.400284,-0.91%,-0.28%,0.17%,-0.37%,2.32%,0.03%,1.56%,1.53%,,,,,,,,
05/08/2021,119.774124,144.784866,238.210007,136.251495,206.024185,0.01%,0.07%,0.52%,0.83%,1.79%,0.03%,1.35%,1.32%,,,,,,,,
06/08/2021,120.881516,144.09465,233.03334,135.738495,203.318741,0.92%,-0.48%,-2.17%,-0.38%,-1.31%,0.03%,-1.54%,-1.57%,-1.57%,0.02%,,,,,,
09/08/2021,119.863213,144.045334,237.919998,136.912994,202.609955,-0.84%,-0.03%,2.10%,0.87%,-0.35%,0.03%,0.43%,0.40%,,,,,,,,
10/08/2021,119.973549,143.562241,236.66333,136.807007,199.02594,0.09%,-0.34%,-0.53%,-0.08%,-1.77%,0.03%,-1.33%,-1.36%,-1.36%,0.02%,,,,,,
11/08/2021,120.60997,143.818604,235.940002,136.279007,196.659912,0.53%,0.18%,-0.31%,-0.39%,-1.19%,0.03%,-0.87%,-0.90%,-0.90%,0.01%,,,,,,
12/08/2021,121.407639,146.806183,240.75,137.194,198.716476,0.66%,2.08%,2.04%,0.67%,1.05%,0.03%,1.36%,1.33%,,,,,,,,
13/08/2021,121.500992,147.013245,239.056671,137.727493,201.541733,0.08%,0.14%,-0.70%,0.39%,1.42%,0.03%,0.72%,0.70%,,,,,,,,
16/08/2021,121.848915,149.004959,228.723328,138.309494,199.165695,0.29%,1.35%,-4.32%,0.42%,-1.18%,0.03%,-2.11%,-2.13%,-2.13%,0.05%,,,,,,
17/08/2021,120.856087,148.088013,221.903336,136.661499,194.253952,-0.81%,-0.62%,-2.98%,-1.19%,-2.47%,0.03%,-2.58%,-2.61%,-2.61%,0.07%,,,,,,
18/08/2021,118.352722,144.311584,229.66333,135.449005,190.080933,-2.07%,-2.55%,3.50%,-0.89%,-2.15%,0.03%,-0.38%,-0.40%,-0.40%,0.00%,,,,,,
19/08/2021,117.122276,144.646835,224.490005,135.679993,197.648254,-1.04%,0.23%,-2.25%,0.17%,3.98%,0.03%,1.91%,1.88%,,,,,,,,
20/08/2021,118.047249,146.115952,226.753326,137.429504,207.811188,0.79%,1.02%,1.01%,1.29%,5.14%,0.03%,3.73%,3.70%,,,,,,,,
23/08/2021,118.480026,147.6147,235.433334,140.041504,219.212067,0.37%,1.03%,3.83%,1.90%,5.49%,0.03%,4.84%,4.81%,,,,,,,,
24/08/2021,118.666702,147.52594,236.16333,141.261505,217.56485,0.16%,-0.06%,0.31%,0.87%,-0.75%,0.03%,-0.39%,-0.41%,-0.41%,0.00%,,,,,,
25/08/2021,118.683693,146.283585,237.066666,142.078995,221.757813,0.01%,-0.84%,0.38%,0.58%,1.93%,0.03%,1.38%,1.36%,,,,,,,,
26/08/2021,117.76722,145.475052,233.720001,141.440506,220.310226,-0.77%,-0.55%,-1.41%,-0.45%,-0.65%,0.03%,-0.89%,-0.91%,-0.91%,0.01%,,,,,,
27/08/2021,118.301826,146.520233,237.306671,144.003998,225.980713,0.45%,0.72%,1.53%,1.81%,2.57%,0.03%,2.20%,2.18%,,,,,,,,
30/08/2021,117.928436,150.97699,243.636673,144.5905,226.499832,-0.32%,3.04%,2.67%,0.41%,0.23%,0.03%,1.02%,0.99%,,,,,,,,
31/08/2021,119.091003,149.705048,245.240005,144.697495,223.514328,0.99%,-0.84%,0.66%,0.07%,-1.32%,0.03%,-0.66%,-0.68%,-0.68%,0.00%,,,,,,
01/09/2021,118.208488,150.375504,244.696671,145.2155,224.073471,-0.74%,0.45%,-0.22%,0.36%,0.25%,0.03%,0.10%,0.07%,,,,,,,,
02/09/2021,118.810959,151.499573,244.130005,143.287003,223.624146,0.51%,0.75%,-0.23%,-1.33%,-0.20%,0.03%,-0.20%,-0.23%,-0.23%,0.00%,,,,,,
03/09/2021,118.446098,152.140457,244.523331,143.739502,228.087448,-0.31%,0.42%,0.16%,0.32%,2.00%,0.03%,1.37%,1.34%,,,,,,,,
07/09/2021,117.156227,154.497009,250.973328,144.280502,226.280167,-1.09%,1.55%,2.64%,0.38%,-0.79%,0.03%,0.31%,0.29%,,,,,,,,
08/09/2021,117.673859,152.939117,251.289993,143.690994,223.055023,0.44%,-1.01%,0.13%,-0.41%,-1.43%,0.03%,-0.91%,-0.93%,-0.93%,0.01%,,,,,,
09/09/2021,116.884674,151.913681,251.619995,143.541,221.437469,-0.67%,-0.67%,0.13%,-0.10%,-0.73%,0.03%,-0.45%,-0.48%,-0.48%,0.00%,,,,,,
10/09/2021,116.273689,146.885056,245.42334,140.876007,224.442902,-0.52%,-3.31%,-2.46%,-1.86%,1.36%,0.03%,0.07%,0.04%,,,,,,,,
13/09/2021,117.232582,147.456955,247.666672,142.332504,221.187805,0.82%,0.39%,0.91%,1.03%,-1.45%,0.03%,-0.65%,-0.67%,-0.67%,0.00%,,,,,,
14/09/2021,115.594818,146.046951,248.16333,142.544495,222.086472,-1.40%,-0.96%,0.20%,0.15%,0.41%,0.03%,0.31%,0.28%,,,,,,,,
15/09/2021,116.426445,146.944199,251.943329,144.429504,223.074982,0.72%,0.61%,1.52%,1.32%,0.45%,0.03%,0.80%,0.77%,,,,,,,,
16/09/2021,115.773018,146.70755,252.330002,143.610001,222.086472,-0.56%,-0.16%,0.15%,-0.57%,-0.44%,0.03%,-0.26%,-0.28%,-0.28%,0.00%,,,,,,
17/09/2021,114.754715,144.015793,253.16333,140.800003,218.671585,-0.88%,-1.83%,0.33%,-1.96%,-1.54%,0.03%,-0.95%,-0.98%,-0.98%,0.01%,,,,,,
20/09/2021,113.974014,140.939468,243.389999,138.719498,210.813416,-0.68%,-2.14%,-3.86%,-1.48%,-3.59%,0.03%,-3.61%,-3.64%,-3.64%,0.13%,,,,,,
21/09/2021,112.836899,141.422577,246.460007,139.033005,212.141403,-1.00%,0.34%,1.26%,0.23%,0.63%,0.03%,0.80%,0.78%,,,,,,,,
22/09/2021,114.245552,143.808746,250.646667,140.283493,219.080978,1.25%,1.69%,1.70%,0.90%,3.27%,0.03%,2.72%,2.69%,,,,,,,,
23/09/2021,116.027596,144.775024,251.213333,141.216003,224.48288,1.56%,0.67%,0.23%,0.66%,2.47%,0.03%,1.72%,1.70%,,,,,,,,
24/09/2021,116.672516,144.863754,258.130005,142.214996,220.478867,0.56%,0.06%,2.75%,0.71%,-1.78%,0.03%,-0.30%,-0.33%,-0.33%,0.00%,,,,,,
27/09/2021,117.580513,143.335434,263.786682,141.072006,216.275192,0.78%,-1.06%,2.19%,-0.80%,-1.91%,0.03%,-0.58%,-0.61%,-0.61%,0.00%,,,,,,
28/09/2021,116.655548,139.923874,259.186676,135.830002,206.679611,-0.79%,-2.38%,-1.74%,-3.72%,-4.44%,0.03%,-3.53%,-3.56%,-3.56%,0.13%,,,,,,
29/09/2021,118.106644,140.831009,260.436676,134.3535,204.86232,1.24%,0.65%,0.48%,-1.09%,-0.88%,0.03%,-0.42%,-0.45%,-0.45%,0.00%,,,,,,
30/09/2021,117.894478,139.519608,258.493347,133.675995,206.84938,-0.18%,-0.93%,-0.75%,-0.50%,0.97%,0.03%,0.39%,0.36%,,,,,,,,
01/10/2021,121.61982,140.653503,258.406677,136.542999,207.108948,3.16%,0.81%,-0.03%,2.14%,0.13%,0.03%,0.13%,0.11%,,,,,,,,
04/10/2021,122.290184,137.192657,260.51001,133.6595,197.024109,0.55%,-2.46%,0.81%,-2.11%,-4.87%,0.03%,-2.99%,-3.01%,-3.01%,0.09%,,,,,,
05/10/2021,121.475548,139.135056,260.196655,136.022995,204.203339,-0.67%,1.42%,-0.12%,1.77%,3.64%,0.03%,2.38%,2.36%,,,,,,,,
06/10/2021,120.805168,140.012619,260.916656,137.565002,206.68959,-0.55%,0.63%,0.28%,1.13%,1.22%,0.03%,0.90%,0.87%,,,,,,,,
07/10/2021,120.338432,141.284561,264.536682,139.225006,210.43396,-0.39%,0.91%,1.39%,1.21%,1.81%,0.03%,1.64%,1.62%,,,,,,,,
08/10/2021,121.53495,140.899994,261.829987,139.785507,207.99762,0.99%,-0.27%,-1.02%,0.40%,-1.16%,0.03%,-1.07%,-1.10%,-1.10%,0.01%,,,,,,
11/10/2021,120.864571,140.811279,263.980011,138.914001,206.639664,-0.55%,-0.06%,0.82%,-0.62%,-0.65%,0.03%,-0.19%,-0.21%,-0.21%,0.00%,,,,,,
12/10/2021,119.201309,139.529465,268.573334,136.449005,206.400009,-1.38%,-0.91%,1.74%,-1.77%,-0.12%,0.03%,0.43%,0.40%,,,,,,,,
13/10/2021,119.447426,138.937881,270.359985,137.582001,209.076004,0.21%,-0.42%,0.67%,0.83%,1.30%,0.03%,1.07%,1.04%,,,,,,,,
14/10/2021,121.679199,141.747971,272.773346,141.151001,217.133896,1.87%,2.02%,0.89%,2.59%,3.85%,0.03%,2.88%,2.85%,,,,,,,,
15/10/2021,122.714447,142.812866,281.01001,141.367996,218.292175,0.85%,0.75%,3.02%,0.15%,0.53%,0.03%,1.31%,1.29%,,,,,,,,
18/10/2021,120.771202,144.498917,290.036682,142.778,221.88678,-1.58%,1.18%,3.21%,1.00%,1.65%,0.03%,2.09%,2.07%,,,,,,,,
19/10/2021,120.482704,146.677979,288.089996,143.237,222.56575,-0.24%,1.51%,-0.67%,0.32%,0.31%,0.03%,0.01%,-0.02%,-0.02%,0.00%,,,,,,
20/10/2021,120.41481,147.171005,288.600006,141.768997,220.698563,-0.06%,0.34%,0.18%,-1.02%,-0.84%,0.03%,-0.50%,-0.53%,-0.53%,0.00%,,,,,,
21/10/2021,108.899452,147.387894,298,141.886002,226.579697,-9.56%,0.15%,3.26%,0.08%,2.66%,0.03%,2.68%,2.65%,,,,,,,,
22/10/2021,108.517586,146.608978,303.226654,137.566498,226.919235,-0.35%,-0.53%,1.75%,-3.04%,0.15%,0.03%,0.61%,0.58%,,,,,,,,
25/10/2021,108.313934,146.559692,341.619995,137.447006,231.312607,-0.19%,-0.03%,12.66%,-0.09%,1.94%,0.03%,5.23%,5.20%,,,,,,,,
26/10/2021,107.881157,147.230194,339.476654,139.308502,246.799362,-0.40%,0.46%,-0.63%,1.35%,6.70%,0.03%,4.22%,4.19%,,,,,,,,
27/10/2021,106.217903,146.766739,345.953339,146.217499,244.143326,-1.54%,-0.31%,1.91%,4.96%,-1.08%,0.03%,-0.08%,-0.11%,-0.11%,0.00%,,,,,,
28/10/2021,106.786461,150.434662,359.013336,145.848999,249.035995,0.54%,2.50%,3.78%,-0.25%,2.00%,0.03%,2.53%,2.50%,,,,,,,,
29/10/2021,106.158508,147.703445,371.333344,148.046005,255.286606,-0.59%,-1.82%,3.43%,1.51%,2.51%,0.03%,2.71%,2.69%,,,,,,,,
01/11/2021,107.159843,146.875168,402.863342,143.496994,257.88269,0.94%,-0.56%,8.49%,-3.07%,1.02%,0.03%,3.29%,3.27%,,,,,,,,
02/11/2021,107.074982,147.920364,390.666656,145.432495,263.614136,-0.08%,0.71%,-3.03%,1.35%,2.22%,0.03%,0.54%,0.51%,,,,,,,,
03/11/2021,107.881157,149.369827,404.619995,146.598007,265.581177,0.75%,0.98%,3.57%,0.80%,0.75%,0.03%,1.63%,1.61%,,,,,,,,
04/11/2021,107.269394,148.847229,409.970001,148.267502,297.563171,-0.57%,-0.35%,1.32%,1.14%,12.04%,0.03%,8.33%,8.31%,,,,,,,,
05/11/2021,109.719238,149.380447,407.363342,148.852005,297.073822,2.28%,0.36%,-0.64%,0.39%,-0.16%,0.03%,-0.28%,-0.30%,-0.30%,0.00%,,,,,,
08/11/2021,110.544731,148.550995,387.646667,149.031006,307.578125,0.75%,-0.56%,-4.84%,0.12%,3.54%,0.03%,0.82%,0.79%,,,,,,,,
09/11/2021,108.700813,148.916321,341.166656,148.918503,306.110291,-1.67%,0.25%,-11.99%,-0.08%,-0.48%,0.03%,-4.08%,-4.10%,-4.10%,0.17%,,,,,,
10/11/2021,108.134155,146.062637,355.983337,145.893494,294.148224,-0.52%,-1.92%,4.34%,-2.03%,-3.91%,0.03%,-1.26%,-1.28%,-1.28%,0.02%,,,,,,
11/11/2021,108.179115,146.01326,354.503326,145.766495,303.444275,0.04%,-0.03%,-0.42%,-0.09%,3.16%,0.03%,1.95%,1.92%,,,,,,,,
12/11/2021,107.000816,148.106613,344.473328,148.677994,303.444275,-1.09%,1.43%,-2.83%,2.00%,0.00%,0.03%,-0.86%,-0.89%,-0.89%,0.01%,,,,,,
15/11/2021,106.919868,148.116501,337.796661,148.451996,299.799713,-0.08%,0.01%,-1.94%,-0.15%,-1.20%,0.03%,-1.40%,-1.42%,-1.42%,0.02%,,,,,,
16/11/2021,106.551079,149.103928,351.57666,147.876007,301.577087,-0.34%,0.67%,4.08%,-0.39%,0.59%,0.03%,1.66%,1.64%,,,,,,,,
17/11/2021,106.191292,151.562683,363.003326,148.046997,292.171173,-0.34%,1.65%,3.25%,0.12%,-3.12%,0.03%,-1.02%,-1.05%,-1.05%,0.01%,,,,,,
18/11/2021,104.932053,155.88768,365.459991,149.838501,316.274994,-1.19%,2.85%,0.68%,1.21%,8.25%,0.03%,5.66%,5.64%,,,,,,,,
19/11/2021,104.383362,158.534012,379.019989,148.926498,329.355408,-0.52%,1.70%,3.71%,-0.61%,4.14%,0.03%,3.88%,3.86%,,,,,,,,
22/11/2021,104.761147,158.998108,385.623322,146.302002,319.080841,0.36%,0.29%,1.74%,-1.76%,-3.12%,0.03%,-1.52%,-1.54%,-1.54%,0.02%,,,,,,
23/11/2021,105.048973,159.383255,369.676666,145.781998,316.983917,0.27%,0.24%,-4.14%,-0.36%,-0.66%,0.03%,-1.72%,-1.75%,-1.75%,0.03%,,,,,,
24/11/2021,104.994995,159.906586,372,146.119995,326.25,-0.05%,0.33%,0.63%,0.23%,2.92%,0.03%,2.12%,2.10%,,,,,,,,
26/11/2021,104.167488,154.840988,360.640015,142.182999,314.557587,-0.79%,-3.17%,-3.05%,-2.69%,-3.58%,0.03%,-3.38%,-3.40%,-3.40%,0.12%,,,,,,
29/11/2021,106.587074,158.227921,378.996674,145.530502,333.259521,2.32%,2.19%,5.09%,2.35%,5.95%,0.03%,5.57%,5.54%,,,,,,,,
30/11/2021,105.327812,163.224365,381.58667,141.897507,326.27002,-1.18%,3.16%,0.68%,-2.50%,-2.10%,0.03%,-1.17%,-1.20%,-1.20%,0.01%,,,,,,
01/12/2021,105.165901,162.701019,365,141.051498,313.917053,-0.15%,-0.32%,-4.35%,-0.60%,-3.79%,0.03%,-3.86%,-3.88%,-3.88%,0.15%,,,,,,
02/12/2021,105.147919,161.70369,361.533325,142.966003,320.817535,-0.02%,-0.61%,-0.95%,1.36%,2.20%,0.03%,1.16%,1.13%,,,,,,,,
03/12/2021,106.892876,159.807831,338.323334,142.001495,306.507263,1.66%,-1.17%,-6.42%,-0.67%,-4.46%,0.03%,-4.94%,-4.97%,-4.97%,0.25%,,,,,,
06/12/2021,107.855316,163.244125,336.33667,143.154999,299.956299,0.90%,2.15%,-0.59%,0.81%,-2.14%,0.03%,-1.55%,-1.58%,-1.58%,0.02%,,,,,,
07/12/2021,109.357437,169.030533,350.583344,147.269501,323.823395,1.39%,3.54%,4.24%,2.87%,7.96%,0.03%,6.63%,6.61%,,,,,,,,
08/12/2021,110.652664,172.881577,356.320007,148.186493,317.821686,1.18%,2.28%,1.64%,0.62%,-1.85%,0.03%,-0.67%,-0.69%,-0.69%,0.00%,,,,,,
09/12/2021,111.147362,172.368118,334.600006,147.638504,304.480042,0.45%,-0.30%,-6.10%,-0.37%,-4.20%,0.03%,-4.67%,-4.69%,-4.69%,0.22%,,,,,,
10/12/2021,111.615097,177.196686,339.01001,148.001495,301.564117,0.42%,2.80%,1.32%,0.25%,-0.96%,0.03%,-0.18%,-0.21%,-0.21%,0.00%,,,,,,
13/12/2021,110.256905,173.53331,322.136658,145.826508,281.222137,-1.22%,-2.07%,-4.98%,-1.47%,-6.75%,0.03%,-6.04%,-6.06%,-6.06%,0.37%,,,,,,
14/12/2021,111.31826,172.140991,319.503326,143.906998,282.979706,0.96%,-0.80%,-0.82%,-1.32%,0.62%,0.03%,0.14%,0.12%,,,,,,,,
15/12/2021,110.733612,177.048599,325.329987,146.440994,304.170471,-0.53%,2.85%,1.82%,1.76%,7.49%,0.03%,5.53%,5.51%,,,,,,,,
16/12/2021,113.270119,170.09697,308.973328,144.445007,283.479034,2.29%,-3.93%,-5.03%,-1.36%,-6.80%,0.03%,-6.07%,-6.10%,-6.10%,0.37%,,,,,,
17/12/2021,114.592354,168.991058,310.856659,141.725006,277.627106,1.17%,-0.65%,0.61%,-1.88%,-2.06%,0.03%,-1.18%,-1.21%,-1.21%,0.01%,,,,,,
20/12/2021,114.286514,167.6185,299.980011,141.606995,276.808228,-0.27%,-0.81%,-3.50%,-0.08%,-0.29%,0.03%,-1.30%,-1.32%,-1.32%,0.02%,,,,,,
21/12/2021,116.004517,170.817856,312.843323,143.472504,290.349518,1.50%,1.91%,4.29%,1.32%,4.89%,0.03%,4.60%,4.58%,,,,,,,,
22/12/2021,116.706085,173.434555,336.290009,146.414993,293.595062,0.60%,1.53%,7.49%,2.05%,1.12%,0.03%,3.12%,3.09%,,,,,,,,
23/12/2021,117.49762,174.066498,355.666656,146.916504,295.991791,0.68%,0.36%,5.76%,0.34%,0.82%,0.03%,2.35%,2.33%,,,,,,,,
27/12/2021,118.3881,178.065659,364.646667,147.906494,309.023834,0.76%,2.30%,2.52%,0.67%,4.40%,0.03%,3.72%,3.70%,,,,,,,,
28/12/2021,119.296547,177.038712,362.823334,146.686996,302.802429,0.77%,-0.58%,-0.50%,-0.82%,-2.01%,0.03%,-1.49%,-1.51%,-1.51%,0.02%,,,,,,
29/12/2021,119.944191,177.127579,362.063324,146.654999,299.596832,0.54%,0.05%,-0.21%,-0.02%,-1.06%,0.03%,-0.76%,-0.78%,-0.78%,0.01%,,,,,,
30/12/2021,120.447884,175.962418,356.779999,146.2005,295.452515,0.42%,-0.66%,-1.46%,-0.31%,-1.38%,0.03%,-1.37%,-1.40%,-1.40%,0.02%,,,,,,
31/12/2021,120.223007,175.340317,352.26001,144.852005,293.704926,-0.19%,-0.35%,-1.27%,-0.92%,-0.59%,0.03%,-0.80%,-0.83%,-0.83%,0.01%,,,,,,
03/01/2022,122.363762,179.724548,399.926666,144.991501,300.795135,1.78%,2.50%,13.53%,0.10%,2.41%,0.03%,5.86%,5.83%,,,,,,,,
04/01/2022,124.144691,177.443558,383.196655,144.399506,292.496552,1.46%,-1.27%,-4.18%,-0.41%,-2.76%,0.03%,-3.12%,-3.15%,-3.15%,0.10%,,,,,,
05/01/2022,124.324593,172.723587,362.706665,137.774994,275.659821,0.14%,-2.66%,-5.35%,-4.59%,-5.76%,0.03%,-5.53%,-5.55%,-5.55%,0.31%,,,,,,
06/01/2022,121.734116,169.840256,354.899994,137.747498,281.391876,-2.08%,-1.67%,-2.15%,-0.02%,2.08%,0.03%,0.66%,0.63%,,,,,,,,
07/01/2022,121.275391,170.008133,342.320007,137.016998,272.094757,-0.38%,0.10%,-3.54%,-0.53%,-3.30%,0.03%,-3.29%,-3.31%,-3.31%,0.11%,,,,,,
10/01/2022,121.455276,170.027847,352.706665,138.669495,273.62262,0.15%,0.01%,3.03%,1.21%,0.56%,0.03%,1.33%,1.31%,,,,,,,,
11/01/2022,119.512428,172.881577,354.799988,139.735992,277.786896,-1.60%,1.68%,0.59%,0.77%,1.52%,0.03%,1.19%,1.17%,,,,,,,,
12/01/2022,120.160042,173.325928,368.73999,141.430496,279.60434,0.54%,0.26%,3.93%,1.21%,0.65%,0.03%,1.68%,1.65%,,,,,,,,
13/01/2022,121.212395,170.027847,343.853333,138.587006,265.383972,0.88%,-1.90%,-6.75%,-2.01%,-5.09%,0.03%,-5.48%,-5.51%,-5.51%,0.30%,,,,,,
14/01/2022,120.71772,170.896805,349.869995,139.480499,269.04895,-0.41%,0.51%,1.75%,0.64%,1.38%,0.03%,1.46%,1.44%,,,,,,,,
18/01/2022,119.575394,167.667862,343.503326,135.998001,258.673248,-0.95%,-1.89%,-1.82%,-2.50%,-3.86%,0.03%,-3.16%,-3.18%,-3.18%,0.10%,,,,,,
